name,url,image_url,Item ID,Total Price,Weight,Per Carat Price,Color,Shape,Clarity,Cut,Color Intensity,Origin,Treatments,Length,Width,Height,Price per Length
Padparadscha Sapphire - Emerald Cut 1.97 Ct. #S6987,https://www.thenaturalsapphirecompany.com/1.97ct-madagascar-emerald-cut-padparadscha-sapphire-s6987-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s6987/image/certified-natural-untreated-madagascar-emerald-padparadscha-sapphire-1.9700-cts-s6987-1-full.jpg,S6987,8747,1.97,"$4,440.1 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Emerald Cut,Eye Clean,Emerald Cut,Intense,Madagascar,No Enhancement,8.63,6.55,3.59,1013.5573580533023
Padparadscha Sapphire - Radiant 1.98 Ct. #S11710,https://www.thenaturalsapphirecompany.com/1.98ct-ceylon-sri-lanka-radiant-padparadscha-sapphire-s11710-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s11710/image/certified-natural-untreated-ceylon(srilanka)-radiant-padparadscha-sapphire-1.9800-cts-s11710-1-full.jpg,S11710,8752,1.98,"$4,420.2 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Radiant,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),No Enhancement,9.26,5.27,3.66,945.1403887688986
Padparadscha Sapphire - Oval 2.09 Ct. #S14336,https://www.thenaturalsapphirecompany.com/2.09ct-madagascar-oval-padparadscha-sapphire-s14336-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14336/image/certified-natural-ceylon(srilanka)-oval-padparadscha-sapphire-2.0900-cts-s14336-1-full.jpg,S14336,8893,2.09,"$4,255.02 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Madagascar,Heated,8.44,6.3,4.32,1053.6729857819905
Padparadscha Sapphire - Oval 3.06 Ct. #S8374,https://www.thenaturalsapphirecompany.com/3.06ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s8374-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s8374/image/certified-natural-ceylon(srilanka)-oval-padparadscha-sapphire-3.0600-cts-s8374-1-full.jpg,S8374,9058,3.06,"$2,960.13 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,8.99,7.55,5.17,1007.5639599555061
Padparadscha Sapphire - Heart 2.05 Ct. #S15502,https://www.thenaturalsapphirecompany.com/2.05ct-ceylon-sri-lanka-heart-padparadscha-sapphire-s15502-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s15502/image/certified-natural-untreated-ceylon(srilanka)-heart-padparadscha-sapphire-2.0500-cts-s15502-1-full.jpg,S15502,9102,2.05,"$4,440 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Heart,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,7.42,8.07,4.39,1226.6846361185983
Padparadscha Sapphire - Oval 2.16 Ct. #S9230,https://www.thenaturalsapphirecompany.com/2.16ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s9230-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s9230/image/certified-natural-ceylon(srilanka)-oval-padparadscha-sapphire-2.1600-cts-s9230-1-full.jpg,S9230,9191,2.16,"$4,255.09 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,8.81,6.96,4.12,1043.2463110102155
Padparadscha Sapphire - Oval 2.57 Ct. #S17462,https://www.thenaturalsapphirecompany.com/2.57ct-ceylon-sri-lanka-oval-padparadscha-sapphire-s17462-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s17462/image/certified-natural-untreated-ceylon(srilanka)-oval-padparadscha-sapphire-2.5700-cts-s17462-1-full.jpg,S17462,9830,2.57,"$3,824.9 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,9.14,8.59,4.25,1075.492341356674
Padparadscha Sapphire - Oval 2.76 Ct. #S14260,https://www.thenaturalsapphirecompany.com/2.76ct-madagascar-oval-padparadscha-sapphire-s14260-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14260/image/certified-natural-untreated-madagascar-oval-padparadscha-sapphire-2.7600-cts-s14260-1-full.jpg,S14260,9853,2.76,"$3,569.93 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium,Madagascar,No Enhancement,9.26,7.56,4.77,1064.0388768898488
Padparadscha Sapphire - Cushion 2.02 Ct. #S14128,https://www.thenaturalsapphirecompany.com/2.02ct-madagascar-cushion-padparadscha-sapphire-s14128-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s14128/image/certified-natural-ceylon(srilanka)-cushion-padparadscha-sapphire-2.0200-cts-s14128-1-full.jpg,S14128,9890,2.02,"$4,896.04 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,No Enhancement,7.1,6.43,4.53,1392.9577464788733
Padparadscha Sapphire - Oval 2.31 Ct. #S11982,https://www.thenaturalsapphirecompany.com/2.31ct-madagascar-oval-padparadscha-sapphire-s11982-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/s11982/image/certified-natural-untreated-madagascar-oval-padparadscha-sapphire-2.3100-cts-s11982-1-full.jpg,S11982,9933,2.31,"$4,300 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Medium Light,Madagascar,No Enhancement,8.92,6.74,4.38,1113.5650224215246
